date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Odisha,Mayurbhanj,757029,123,250
01-03-2025,Odisha,Khordha,752100,59,80
01-03-2025,Odisha,Ganjam,761122,79,184
01-03-2025,Odisha,Keonjhar,758019,158,557
01-03-2025,Odisha,Koraput,764011,89,51
01-03-2025,Odisha,Keonjhar,758015,204,392
01-03-2025,Odisha,Gajapati,761206,142,200
01-03-2025,Odisha,Boudh,762024,67,142
01-03-2025,Odisha,Khordha,751021,66,130
01-03-2025,Odisha,Nayagarh,752078,70,119
01-03-2025,Odisha,Rayagada,765017,28,266
01-03-2025,Odisha,Puri,752046,51,101
01-03-2025,Odisha,Rayagada,765022,244,346
01-03-2025,Odisha,Balangir,767029,13,88
01-03-2025,Odisha,Ganjam,761126,63,120
01-03-2025,Odisha,Rayagada,765026,156,369
01-03-2025,Odisha,Kendrapara,754239,68,123
01-03-2025,Odisha,Bhadrak,756135,83,112
01-03-2025,Odisha,Jagatsinghpur,754162,21,25
01-03-2025,Odisha,Jajpur,755007,101,170
01-03-2025,Odisha,Boudh,762017,99,217
01-03-2025,Odisha,Angul,759124,75,150
01-03-2025,Odisha,Gajapati,761212,204,552
01-03-2025,Odisha,Puri,752045,74,117
01-03-2025,Odisha,Balasore,756043,20,44
01-03-2025,Odisha,Ganjam,761106,247,361
01-03-2025,Odisha,Jharsuguda,768218,41,71
01-03-2025,Odisha,Keonjhar,758025,17,46
01-03-2025,Odisha,Jajpur,754205,30,42
01-03-2025,Odisha,Dhenkanal,759018,362,493
01-03-2025,Odisha,Angul,759128,133,230
01-03-2025,Odisha,Mayurbhanj,757083,47,108
01-03-2025,Odisha,Balangir,767066,12,95
01-03-2025,Odisha,Mayurbhanj,757103,47,101
01-03-2025,Odisha,Mayurbhanj,757017,53,167
01-03-2025,Odisha,Nabarangpur,764078,95,271
01-03-2025,Odisha,Jajpur,755027,44,77
01-03-2025,Odisha,Ganjam,760006,22,36
01-03-2025,Odisha,Khordha,752030,63,82
01-03-2025,Odisha,Sambalpur,768002,49,56
01-03-2025,Odisha,Jajpur,755004,90,159
01-03-2025,Odisha,Keonjhar,758081,70,101
01-03-2025,Odisha,Bargarh,768111,60,116
01-03-2025,Odisha,Jajpur,755024,31,37
01-03-2025,Odisha,Angul,759123,79,138
01-03-2025,Odisha,Jajpur,754024,50,118
01-03-2025,Odisha,Sundargarh,770031,77,134
